Date,,Site,Location,Total Coliforms ,Total Coliforms ,Total _Coliforms ,E. coli,E. coli,E_coli,Incubation,Date,pH,,Dilution ,,,,,,,,,,,,,
Sampling Date,Collection Time,Site,Sampling Site (name),Small Well,Large Well,MPN/100ml,Small Well,Large Well,MPN/100ml,Incubation time/temperatre IN,Sampling Date,pH,Turbidity,Dilution ,,,,,,,,,,,,,
Date,,site,site_full,tot_coli_small,tot_coli_large,tot_coli_conc,ecoli_small,ecoli_large,ecoli_conc,incubation_info_in,Date,ph,,dilution,,,,,,,,,,,,,
01/28/2025,,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>2419.6,31/48,49/49,648.8,1/28/2025 12:14 PM/ 35.0°C ,1/29/2025              10:30 AM/ 35.0°C ,N/A,N/A,N/A,,,,,,,,,,,,,
01/28/2025,,LULL@LULL,Site_4_LULL@LULL,48/48,49/49,>2419.6,19/48,48/49,260.3,1/28/2025 12:14 PM/ 35.0°C ,1/29/2025              10:30 AM/ 35.0°C ,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,45/48,49/49,1732.9,18/48,48/49,248.9,1/2/2025 11:25 AM/ 34.9°C ,1/30/2025              12:24 PM/ 34.5°C ,N/A,N/A,N/A,,,,,,,,,,,,,
01/29/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,48/49,49/49,>2419.6,40/48,49/49,1119.9,1/2/2025 11:25 AM/ 34.9°C ,1/30/2025              12:24 PM/ 34.5°C ,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2025,,LULL@LULL,Site_4_LULL@LULL,48/48,49/49,>2419.6,8/48,46/49,137.7,2/11/2025 1:51 PM/ 34.9°C ,2/12/2025 02:14 PM/ 34.7°C ,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2025,,PEAV@OLDB,Site 1 PEAV@OLDB,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/2025 12:38 PM/ 35.0°C ,2/13/2025 2:14 PM/ 34.7°C ,N/A,N/A,N/A,,,,,,,,,,,,,
02/12/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/2025 12:38 PM/ 35.0°C ,2/13/2025 2:14 PM/ 34.7°C ,N/A,N/A,N/A,,,,,,,,,,,,,
02/12/2025,,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/2025 12:38 PM/ 35.0°C ,2/13/2025 2:14 PM/ 34.7°C ,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/13/2025,,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/2025 11:34 AM/ 33.4°C* ,2/12/2025 12:05 PM/ 34.0°C*,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/26/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,11/48,49/49,2143.00,0/48,6/49,63.0,2/26/2025 1:44 PM/35°C ,2/27/2025 5:10PM/35°C ,7.196,0 FAU,1:10,,,,,,,,,,,,,
02/26/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,6/49,40/49,882.00,0/48,6/49,63.0,2/26/2025 1:44 PM/35°C ,2/27/2025 5:10PM/35°C ,7.513,0 FAU,1:10,,,,,,,,,,,,,
02/26/2025,,PEAV@VICK,Site_3_PEAV@VICK,7/48,44/49,1153.00,1/48,7/49,85.0,2/26/2025 1:42 PM/35°C ,2/27/2025 1:44 PM/35°C ,7.586,0 FAU,1:10,,,,,,,,,,,,,
02/26/2025,,LULL@LULL,Site_4_LULL@LULL,3/48,39/49,767.00,0/48,3/49,31.0,2/26/2025 1:44 PM/35°C ,2/27/2025 1:44 PM/35°C ,7.554,0 FAU,1:10,"*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter).","*For the samples collected on 2/26/2025, the Hach DR900 turbidity meter (absorptometric method) has a range of 21 to 1000 FAU (1 FAU = 1NTU). We made adjustments and are now using a more sensitive instrument that reads between 0-1000 NTU (Hach 2100Q portable turbidimeter)."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2025,,PEAV@VICK,Site_3_PEAV@VICK,32/48,49/49,6867,20/48,49/49,3448.00,3/11/2025 10:49:00 AM 35.0°C,3/12/2025 10:24:00 AM 34.9°C,7.586,2.06,1:10,,,,,,,,,,,,,
3/12/2025,,LULL@LULL,Site_4_LULL@LULL,5/48,37/49,733,1/48,5/49,63.00,3/12/2025 12:37:00 PM 35.0°C,3/13/2025 01:08:00 PM 35.0°C,7.574,3.22,1:10,,,,,,,,,,,,,
3/12/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,5/48,45/49,1162,1/48,9/49,109,3/12/2025 12:37:00 PM 35.0°C,3/13/2025 01:08:00 PM 35.0°C,7.615,1.92,1:10,,,,,,,,,,,,,
3/12/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,9/48,45/49,1314,2/48,10/49,132,3/12/2025 12:37:00 PM 35.0°C,3/13/2025 01:08:00 PM 35.0°C,7.538,2.19,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
